timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 19:57:10.497, 141.95 W, 90, 1777 MHz, 7301 MHz
2026/04/28 19:57:11.497, 142.25 W, 89, 1710 MHz, 7301 MHz
2026/04/28 19:57:12.497, 139.99 W, 88, 1545 MHz, 7301 MHz
2026/04/28 19:57:13.497, 137.08 W, 88, 1612 MHz, 7301 MHz
2026/04/28 19:57:14.497, 140.35 W, 90, 1680 MHz, 7301 MHz
2026/04/28 19:57:15.497, 141.55 W, 89, 1777 MHz, 7301 MHz
2026/04/28 19:57:16.497, 144.72 W, 90, 1717 MHz, 7301 MHz
2026/04/28 19:57:17.497, 137.63 W, 90, 1627 MHz, 7301 MHz
2026/04/28 19:57:18.497, 146.41 W, 89, 1545 MHz, 7301 MHz
2026/04/28 19:57:19.497, 140.41 W, 89, 1702 MHz, 7301 MHz
2026/04/28 19:57:20.498, 140.67 W, 87, 1605 MHz, 7301 MHz
2026/04/28 19:57:21.498, 142.72 W, 87, 1627 MHz, 7301 MHz
2026/04/28 19:57:22.498, 141.18 W, 87, 1687 MHz, 7301 MHz
2026/04/28 19:57:23.498, 138.72 W, 87, 1732 MHz, 7301 MHz
2026/04/28 19:57:24.498, 143.47 W, 87, 1762 MHz, 7301 MHz
2026/04/28 19:57:25.498, 139.25 W, 87, 1650 MHz, 7301 MHz
2026/04/28 19:57:26.498, 143.68 W, 87, 1695 MHz, 7301 MHz
2026/04/28 19:57:27.498, 134.88 W, 83, 1800 MHz, 7301 MHz
2026/04/28 19:57:28.498, 143.06 W, 87, 1680 MHz, 7301 MHz
2026/04/28 19:57:29.498, 139.30 W, 86, 1635 MHz, 7301 MHz
2026/04/28 19:57:30.498, 141.88 W, 88, 1762 MHz, 7301 MHz
2026/04/28 19:57:31.498, 143.22 W, 90, 1732 MHz, 7301 MHz
2026/04/28 19:57:32.498, 142.62 W, 90, 1717 MHz, 7301 MHz
2026/04/28 19:57:33.498, 140.16 W, 89, 1537 MHz, 7301 MHz
2026/04/28 19:57:34.499, 140.46 W, 90, 1702 MHz, 7301 MHz
2026/04/28 19:57:35.499, 138.74 W, 89, 1545 MHz, 7301 MHz
2026/04/28 19:57:36.499, 144.12 W, 88, 1597 MHz, 7301 MHz
2026/04/28 19:57:37.499, 142.73 W, 87, 1545 MHz, 7301 MHz
2026/04/28 19:57:38.499, 142.00 W, 88, 1837 MHz, 7301 MHz
2026/04/28 19:57:39.499, 139.99 W, 86, 1717 MHz, 7301 MHz
2026/04/28 19:57:40.499, 140.57 W, 89, 1582 MHz, 7301 MHz
2026/04/28 19:57:41.499, 138.46 W, 87, 1777 MHz, 7301 MHz
2026/04/28 19:57:42.499, 142.46 W, 86, 1530 MHz, 7301 MHz
2026/04/28 19:57:43.499, 141.68 W, 88, 1545 MHz, 7301 MHz
2026/04/28 19:57:44.499, 142.16 W, 89, 1470 MHz, 7301 MHz
2026/04/28 19:57:45.499, 142.97 W, 90, 1657 MHz, 7301 MHz
2026/04/28 19:57:46.499, 142.31 W, 89, 1590 MHz, 7301 MHz
2026/04/28 19:57:47.500, 143.07 W, 89, 1725 MHz, 7301 MHz
2026/04/28 19:57:48.500, 144.83 W, 88, 1792 MHz, 7301 MHz
2026/04/28 19:57:49.500, 141.62 W, 88, 1695 MHz, 7301 MHz
2026/04/28 19:57:50.500, 136.99 W, 87, 1762 MHz, 7301 MHz
2026/04/28 19:57:51.500, 137.81 W, 87, 1800 MHz, 7301 MHz
2026/04/28 19:57:52.500, 144.64 W, 87, 1620 MHz, 7301 MHz
2026/04/28 19:57:53.500, 141.07 W, 87, 1612 MHz, 7301 MHz
2026/04/28 19:57:54.500, 142.29 W, 88, 1755 MHz, 7301 MHz
2026/04/28 19:57:55.500, 142.07 W, 89, 1597 MHz, 7301 MHz
2026/04/28 19:57:56.501, 138.57 W, 90, 1635 MHz, 7301 MHz
2026/04/28 19:57:57.501, 129.84 W, 87, 1732 MHz, 7301 MHz
2026/04/28 19:57:58.501, 146.65 W, 87, 1747 MHz, 7301 MHz
2026/04/28 19:57:59.502, 139.71 W, 87, 1642 MHz, 7301 MHz
2026/04/28 19:58:00.502, 140.59 W, 85, 1777 MHz, 7301 MHz
2026/04/28 19:58:01.502, 142.16 W, 87, 1762 MHz, 7301 MHz
