timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 20:37:09.679, 98.94 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:10.679, 97.00 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:11.679, 97.66 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:12.679, 98.04 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:13.679, 97.66 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:14.680, 97.48 W, 71, 1425 MHz, 7301 MHz
2026/04/28 20:37:15.680, 97.68 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:16.680, 97.15 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:17.680, 97.96 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:18.680, 97.79 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:19.680, 98.24 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:20.680, 98.02 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:21.680, 98.24 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:22.681, 98.42 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:23.681, 97.74 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:24.681, 97.88 W, 71, 1357 MHz, 7301 MHz
2026/04/28 20:37:25.681, 97.84 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:26.681, 98.02 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:27.681, 97.80 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:28.681, 98.19 W, 72, 1440 MHz, 7301 MHz
2026/04/28 20:37:29.681, 98.02 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:30.681, 97.14 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:31.682, 97.69 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:32.682, 97.99 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:33.682, 97.96 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:34.682, 98.01 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:35.682, 97.28 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:36.682, 98.38 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:37.682, 98.36 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:38.682, 98.86 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:37:39.682, 97.79 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:40.683, 98.11 W, 73, 1350 MHz, 7301 MHz
2026/04/28 20:37:41.684, 97.45 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:42.684, 97.78 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:43.684, 98.40 W, 71, 1537 MHz, 7301 MHz
2026/04/28 20:37:44.684, 110.20 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:45.684, 97.80 W, 71, 1545 MHz, 7301 MHz
2026/04/28 20:37:46.684, 98.96 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:47.684, 98.46 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:48.685, 99.16 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:49.685, 98.25 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:50.685, 98.20 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:37:51.685, 96.67 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:52.685, 97.14 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:53.685, 98.35 W, 71, 1485 MHz, 7301 MHz
2026/04/28 20:37:54.685, 98.99 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:55.685, 98.90 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:56.686, 97.87 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:57.686, 99.30 W, 74, 1537 MHz, 7301 MHz
2026/04/28 20:37:58.686, 98.16 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:59.686, 97.50 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:00.686, 98.50 W, 71, 1425 MHz, 7301 MHz
2026/04/28 20:38:01.686, 99.13 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:02.686, 98.43 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:03.686, 97.72 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:04.686, 99.75 W, 74, 1380 MHz, 7301 MHz
2026/04/28 20:38:05.687, 97.49 W, 74, 1342 MHz, 7301 MHz
2026/04/28 20:38:06.687, 97.90 W, 72, 1380 MHz, 7301 MHz
2026/04/28 20:38:07.687, 98.89 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:38:08.687, 99.79 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:38:09.687, 98.97 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:10.687, 98.97 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:38:11.687, 96.25 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:12.687, 93.99 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:13.687, 98.06 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:14.688, 99.03 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:15.688, 98.90 W, 74, 1515 MHz, 7301 MHz
2026/04/28 20:38:16.688, 97.21 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:17.688, 97.77 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:18.688, 99.04 W, 71, 1552 MHz, 7301 MHz
